Season,Player Name,Conference,Date,Team,Pos,Height,Weight,Age,PreDraftTeam,DraftYear,YOS
2013-2014,Paul Millsap,East,27-Jan-14,Atlanta Hawks,FC,8-Jun,246,29,Louisiana Tech,2006,7
2013-2014,Kevin Durant,West,27-Jan-14,Oklahoma City Thunder,SF,9-Jun,240,25,Texas,2007,6
2013-2014,Paul George,East,20-Jan-14,Indiana Pacers,GF,9-Jun,220,23,Fresno State,2010,3
2013-2014,Kevin Durant,West,20-Jan-14,Oklahoma City Thunder,SF,9-Jun,240,25,Texas,2007,6
2013-2014,Carmelo Anthony,East,13-Jan-14,New York Knicks,F,8-Jun,240,29,Syracuse,2003,10
2013-2014,DeMarcus Cousins,West,13-Jan-14,Sacramento Kings,C,11-Jun,270,23,Kentucky,2010,3
2013-2014,Thaddeus Young,East,6-Jan-14,Philadelphia Sixers,F,8-Jun,221,25,Georgia Tech,2007,6
2013-2014,David Lee,West,6-Jan-14,Golden State Warriors,FC,9-Jun,245,30,Florida,2005,8
2013-2014,Chris Bosh,East,30-Dec-13,Miami Heat,PF,11-Jun,235,29,Georgia Tech,2003,10
2013-2014,Kevin Durant,West,30-Dec-13,Oklahoma City Thunder,SF,9-Jun,240,25,Texas,2007,6
2013-2014,Dwyane Wade,East,23-Dec-13,Miami Heat,SG,4-Jun,220,32,Marquette,2003,10
2013-2014,Blake Griffin,West,23-Dec-13,Los Angeles Clippers,PF,10-Jun,250,24,Oklahoma,2009,4
2013-2014,Kyrie Irving,East,16-Dec-13,Cleveland Cavaliers,G,3-Jun,193,21,Duke,2011,2
2013-2014,LaMarcus Aldridge,West,16-Dec-13,Portland Trail Blazers,FC,11-Jun,260,28,Texas,2006,7
2013-2014,Jordan Crawford,East,9-Dec-13,Boston Celtics,G,5-Jun,195,25,Xavier,2010,3
2013-2014,LaMarcus Aldridge,West,9-Dec-13,Portland Trail Blazers,FC,11-Jun,260,28,Texas,2006,7
