Season,Player Name,Conference,Date,Team,Pos,Height,Weight,Age,PreDraftTeam,DraftYear,YOS
1994-1995,Cedric Ceballos,,25-Dec-94,Los Angeles Lakers,SF,6-Jun,190,25,Cal State Fullerton,1990,4
1994-1995,Karl Malone,,18-Dec-94,Utah Jazz,PF,9-Jun,265,31,Louisiana Tech,1985,9
1994-1995,Jamal Mashburn,,11-Dec-94,Dallas Mavericks,SF,8-Jun,247,22,Kentucky,1993,1
1994-1995,Shaquille O'Neal,,4-Dec-94,Orlando Magic,C,1-Jul,325,22,LSU,1992,2
1994-1995,Penny Hardaway,,27-Nov-94,Orlando Magic,PG,7-Jun,195,23,Memphis,1993,1
1994-1995,Elliot Perry,,20-Nov-94,Phoenix Suns,PG,Jun-00,150,25,Memphis,1991,3
1994-1995,Tim Hardaway,,13-Nov-94,Golden State Warriors,PG,Jun-00,175,28,UTEP,1989,5
1993-1994,David Robinson,,24-Apr-94,San Antonio Spurs,C,1-Jul,250,28,Navy,1987,4
1993-1994,Scottie Pippen,,17-Apr-94,Chicago Bulls,SF,8-Jun,228,28,Central Arkansas,1987,6
1993-1994,Dikembe Mutombo,,10-Apr-94,Denver Nuggets,C,2-Jul,260,27,Georgetown,1991,2
1993-1994,Shawn Kemp,,3-Apr-94,Seattle SuperSonics,C,10-Jun,280,24,Trinity Valley CC,1989,4
1993-1994,Kevin Willis,,27-Mar-94,Atlanta Hawks,C,Jul-00,245,31,Michigan State,1984,9
1993-1994,Hakeem Olajuwon,,20-Mar-94,Houston Rockets,C,Jul-00,255,31,Houston,1984,9
1993-1994,Joe Dumars,,13-Mar-94,Detroit Pistons,SG,3-Jun,190,30,McNeese State,1985,8
1993-1994,David Robinson,,6-Mar-94,San Antonio Spurs,C,1-Jul,250,28,Navy,1987,4
1993-1994,Shawn Kemp,,27-Feb-94,Seattle SuperSonics,C,10-Jun,280,24,Trinity Valley CC,1989,4
1993-1994,David Robinson,,20-Feb-94,San Antonio Spurs,C,1-Jul,250,28,Navy,1987,4
1993-1994,David Robinson,,6-Feb-94,San Antonio Spurs,C,1-Jul,250,28,Navy,1987,4
1993-1994,Ron Harper,,30-Jan-94,Los Angeles Clippers,SG,6-Jun,185,30,Miami (OH),1986,7
1993-1994,Kenny Anderson,,23-Jan-94,New Jersey Nets,PG,Jun-00,168,23,Georgia Tech,1991,2
1993-1994,Patrick Ewing,,16-Jan-94,New York Knicks,C,Jul-00,240,31,Georgetown,1985,8
1993-1994,Chris Webber,,9-Jan-94,Golden State Warriors,F-C,9-Jun,245,20,Michigan,1993,0
1993-1994,Oliver Miller,,2-Jan-94,Phoenix Suns,C,9-Jun,280,23,Arkansas,1992,1
1993-1994,Scottie Pippen,,26-Dec-93,Chicago Bulls,SF,8-Jun,228,28,Central Arkansas,1987,6
1993-1994,Karl Malone,,19-Dec-93,Utah Jazz,PF,9-Jun,265,30,Louisiana Tech,1985,8
1993-1994,Shaquille O'Neal,,12-Dec-93,Orlando Magic,C,1-Jul,325,21,LSU,1992,1
1993-1994,David Robinson,,5-Dec-93,San Antonio Spurs,C,1-Jul,250,28,Navy,1987,4
1993-1994,Glen Rice,,28-Nov-93,Miami Heat,SF,8-Jun,228,26,Michigan,1989,4
1993-1994,Charles Barkley,,21-Nov-93,Phoenix Suns,PF,6-Jun,252,31,Auburn,1984,9
1993-1994,Hakeem Olajuwon,,14-Nov-93,Houston Rockets,C,Jul-00,255,31,Houston,1984,9
1992-1993,Larry Johnson,,25-Apr-93,Charlotte Hornets,F,6-Jun,250,23,UNLV,1991,1
1992-1993,Alonzo Mourning,,18-Apr-93,Charlotte Hornets,C,10-Jun,240,23,Georgetown,1992,0
1992-1993,Hakeem Olajuwon,,11-Apr-93,Houston Rockets,C,Jul-00,255,30,Houston,1984,8
1992-1993,Charles Barkley,,4-Apr-93,Phoenix Suns,PF,6-Jun,252,30,Auburn,1984,8
1992-1993,Dikembe Mutombo,,28-Mar-93,Denver Nuggets,C,2-Jul,260,26,Georgetown,1991,1
1992-1993,Patrick Ewing,,21-Mar-93,New York Knicks,C,Jul-00,240,30,Georgetown,1985,7
1992-1993,Rumeal Robinson,,14-Mar-93,New Jersey Nets,PG,2-Jun,195,26,Michigan,1990,2
1992-1993,Rony Seikaly,,7-Mar-93,Miami Heat,C,11-Jun,230,27,Syracuse,1988,4
1992-1993,Hakeem Olajuwon,,28-Feb-93,Houston Rockets,C,Jul-00,255,30,Houston,1984,8
1992-1993,Larry Johnson,,14-Feb-93,Charlotte Hornets,F,6-Jun,250,23,UNLV,1991,1
1992-1993,Nick Anderson,,7-Feb-93,Orlando Magic,GF,6-Jun,228,25,Illinois,1989,3
1992-1993,Karl Malone,,31-Jan-93,Utah Jazz,PF,9-Jun,265,29,Louisiana Tech,1985,7
1992-1993,Patrick Ewing,,24-Jan-93,New York Knicks,C,Jul-00,240,30,Georgetown,1985,7
1992-1993,Hakeem Olajuwon,,17-Jan-93,Houston Rockets,C,Jul-00,255,30,Houston,1984,8
1992-1993,Shawn Kemp,,10-Jan-93,Seattle SuperSonics,C,10-Jun,280,23,Trinity Valley CC,1989,3
1992-1993,David Robinson,,3-Jan-93,San Antonio Spurs,C,1-Jul,250,27,Navy,1987,3
1992-1993,Sean Elliott,,27-Dec-92,San Antonio Spurs,SF,8-Jun,205,25,Arizona,1989,3
1992-1993,Patrick Ewing,,20-Dec-92,New York Knicks,C,Jul-00,240,30,Georgetown,1985,7
1992-1993,Charles Barkley,,13-Dec-92,Phoenix Suns,PF,6-Jun,252,30,Auburn,1984,8
1992-1993,Drazen Petrovic,,6-Dec-92,New Jersey Nets,SG,5-Jun,200,28,KK Cibona (Croatia),1986,3
1992-1993,David Robinson,,29-Nov-92,San Antonio Spurs,C,1-Jul,250,27,Navy,1987,3
1992-1993,Michael Jordan,,22-Nov-92,Chicago Bulls,SG,6-Jun,215,30,North Carolina,1984,8
1992-1993,Shaquille O'Neal,,15-Nov-92,Orlando Magic,C,1-Jul,325,20,LSU,1992,0
1991-1992,Karl Malone,,19-Apr-92,Utah Jazz,PF,9-Jun,265,28,Louisiana Tech,1985,6
1991-1992,Reggie Lewis,,12-Apr-92,Boston Celtics,SF,7-Jun,195,26,Northeastern,1987,4
1991-1992,Mookie Blaylock,,5-Apr-92,New Jersey Nets,PG,1-Jun,190,24,Oklahoma,1989,2
1991-1992,Mark Jackson,,29-Mar-92,New York Knicks,PG,1-Jun,180,26,St. John's,1987,4
1991-1992,Larry Johnson,,22-Mar-92,Charlotte Hornets,F,6-Jun,250,22,UNLV,1991,0
1991-1992,Joe Dumars,,15-Mar-92,Detroit Pistons,SG,3-Jun,190,28,McNeese State,1985,6
1991-1992,Karl Malone,,8-Mar-92,Utah Jazz,PF,9-Jun,265,28,Louisiana Tech,1985,6
1991-1992,Danny Manning,,1-Mar-92,Los Angeles Clippers,F,10-Jun,230,25,Kansas,1988,3
1991-1992,Tim Hardaway,,23-Feb-92,Golden State Warriors,PG,Jun-00,175,25,UTEP,1989,2
1991-1992,John Stockton,,16-Feb-92,Utah Jazz,PG,1-Jun,170,29,Gonzaga,1984,7
1991-1992,Larry Nance,,2-Feb-92,Cleveland Cavaliers,PF,10-Jun,205,33,Clemson,1981,10
1991-1992,Nick Anderson,,26-Jan-92,Orlando Magic,GF,6-Jun,228,24,Illinois,1989,2
1991-1992,Tim Hardaway,,19-Jan-92,Golden State Warriors,PG,Jun-00,175,25,UTEP,1989,2
1991-1992,Michael Jordan,,12-Jan-92,Chicago Bulls,SG,6-Jun,215,29,North Carolina,1984,7
1991-1992,Patrick Ewing,,5-Jan-92,New York Knicks,C,Jul-00,240,29,Georgetown,1985,6
1991-1992,Scottie Pippen,,29-Dec-91,Chicago Bulls,SF,8-Jun,228,26,Central Arkansas,1987,4
1991-1992,Pervis Ellison,,22-Dec-91,Washington Bullets,C,9-Jun,210,24,Louisville,1989,2
1991-1992,Dennis Rodman,,15-Dec-91,Detroit Pistons,PF,7-Jun,210,30,Southeastern Oklahoma State,1986,5
1991-1992,Jeff Malone,,8-Dec-91,Utah Jazz,SG,4-Jun,205,30,Mississippi State,1983,8
1991-1992,David Robinson,,1-Dec-91,San Antonio Spurs,C,1-Jul,250,26,Navy,1987,2
1991-1992,Kevin Willis,,24-Nov-91,Atlanta Hawks,C,Jul-00,245,29,Michigan State,1984,7
1991-1992,Brad Daugherty,,17-Nov-91,Cleveland Cavaliers,C,Jul-00,245,26,North Carolina,1986,5
1991-1992,Chris Mullin,,10-Nov-91,Golden State Warriors,SF,7-Jun,215,28,St. John's,1985,6
1990-1991,Scott Skiles,,21-Apr-91,Orlando Magic,PG,1-Jun,180,26,Michigan State,1986,4
1990-1991,Clyde Drexler,,14-Apr-91,Portland Trail Blazers,SG,7-Jun,210,28,Houston,1983,7
1990-1991,Magic Johnson,,7-Apr-91,Los Angeles Lakers,PG,9-Jun,255,31,Michigan State,1979,11
1990-1991,Clyde Drexler,,31-Mar-91,Portland Trail Blazers,SG,7-Jun,210,28,Houston,1983,7
1990-1991,Mitch Richmond,,24-Mar-91,Golden State Warriors,SG,5-Jun,215,25,Kansas State,1988,2
1990-1991,Kenny Smith,,17-Mar-91,Houston Rockets,PG,3-Jun,170,25,North Carolina,1987,3
1990-1991,Dennis Scott,,10-Mar-91,Orlando Magic,SF,8-Jun,229,22,Georgia Tech,1990,0
1990-1991,Gerald Wilkins,,3-Mar-91,New York Knicks,SG,6-Jun,185,27,Chattanooga,1985,5
1990-1991,Reggie Miller,,24-Feb-91,Indiana Pacers,SG,7-Jun,185,25,UCLA,1987,3
1990-1991,Lionel Simmons,,17-Feb-91,Sacramento Kings,SF,7-Jun,210,22,La Salle,1990,0
1990-1991,Otis Thorpe,,3-Feb-91,Houston Rockets,PF,9-Jun,225,28,Providence,1984,6
1990-1991,Michael Adams,,27-Jan-91,Denver Nuggets,PG,10-May,163,28,Boston College,1985,5
1990-1991,Tim Hardaway,,20-Jan-91,Golden State Warriors,PG,Jun-00,175,24,UTEP,1989,1
1990-1991,Bernard King,,13-Jan-91,Washington Bullets,SF,7-Jun,205,34,Tennessee,1977,13
1990-1991,Dominique Wilkins,,6-Jan-91,Atlanta Hawks,SF,7-Jun,200,31,Georgia,1982,8
1990-1991,Ricky Pierce,,30-Dec-90,Milwaukee Bucks,SG,4-Jun,205,31,Rice,1982,8
1990-1991,Michael Jordan,,23-Dec-90,Chicago Bulls,SG,6-Jun,215,28,North Carolina,1984,6
1990-1991,Kevin Johnson,,16-Dec-90,Phoenix Suns,PG,1-Jun,180,24,California,1987,3
1990-1991,John Stockton,,9-Dec-90,Utah Jazz,PG,1-Jun,170,28,Gonzaga,1984,6
1990-1991,Michael Jordan,,2-Dec-90,Chicago Bulls,SG,6-Jun,215,28,North Carolina,1984,6
1990-1991,Charles Barkley,,25-Nov-90,Philadelphia Sixers,PF,6-Jun,252,28,Auburn,1984,6
1990-1991,Clyde Drexler,,18-Nov-90,Portland Trail Blazers,SG,7-Jun,210,28,Houston,1983,7
1990-1991,Chris Mullin,,11-Nov-90,Golden State Warriors,SF,7-Jun,215,27,St. John's,1985,5
1989-1990,David Robinson,,22-Apr-90,San Antonio Spurs,C,1-Jul,250,24,Navy,1987,0
1989-1990,Magic Johnson,,15-Apr-90,Los Angeles Lakers,PG,9-Jun,255,30,Michigan State,1979,10
1989-1990,Charles Barkley,,8-Apr-90,Philadelphia Sixers,PF,6-Jun,252,27,Auburn,1984,5
1989-1990,Michael Jordan,,1-Apr-90,Chicago Bulls,SG,6-Jun,215,27,North Carolina,1984,5
1989-1990,David Robinson,,25-Mar-90,San Antonio Spurs,C,1-Jul,250,24,Navy,1987,0
1989-1990,Kevin Johnson,,18-Mar-90,Phoenix Suns,PG,1-Jun,180,23,California,1987,2
1989-1990,Rony Seikaly,,11-Mar-90,Miami Heat,C,11-Jun,230,24,Syracuse,1988,1
1989-1990,Hakeem Olajuwon,,4-Mar-90,Houston Rockets,C,Jul-00,255,27,Houston,1984,5
1989-1990,David Robinson,,25-Feb-90,San Antonio Spurs,C,1-Jul,250,24,Navy,1987,0
1989-1990,Tom Chambers,,18-Feb-90,Phoenix Suns,PF,10-Jun,220,30,Utah,1981,8
1989-1990,Tim Hardaway,,4-Feb-90,Golden State Warriors,PG,Jun-00,175,23,UTEP,1989,0
1989-1990,Karl Malone,,28-Jan-90,Utah Jazz,PF,9-Jun,265,26,Louisiana Tech,1985,4
1989-1990,Alvin Robertson,,21-Jan-90,Milwaukee Bucks,SG,3-Jun,185,27,Arkansas,1984,5
1989-1990,Ron Harper,,14-Jan-90,Los Angeles Clippers,SG,6-Jun,185,26,Miami (OH),1986,3
1989-1990,Terry Teagle,,7-Jan-90,Golden State Warriors,SG,5-Jun,195,29,Baylor,1982,7
1989-1990,Karl Malone,,30-Dec-89,Utah Jazz,PF,9-Jun,265,26,Louisiana Tech,1985,4
1989-1990,Terry Cummings,,24-Dec-89,San Antonio Spurs,PF,9-Jun,220,28,DePaul,1982,7
1989-1990,Chris Mullin,,17-Dec-89,Golden State Warriors,SF,7-Jun,215,26,St. John's,1985,4
1989-1990,Michael Jordan,,10-Dec-89,Chicago Bulls,SG,6-Jun,215,27,North Carolina,1984,5
1989-1990,Patrick Ewing,,3-Dec-89,New York Knicks,C,Jul-00,240,27,Georgetown,1985,4
1989-1990,Clyde Drexler,,26-Nov-89,Portland Trail Blazers,SG,7-Jun,210,27,Houston,1983,6
1989-1990,John Stockton,,19-Nov-89,Utah Jazz,PG,1-Jun,170,27,Gonzaga,1984,5
1989-1990,Vern Fleming,,12-Nov-89,Indiana Pacers,G,5-Jun,185,28,Georgia,1984,5
1988-1989,Xavier McDaniel,,23-Apr-89,Seattle SuperSonics,PF,7-Jun,205,25,Wichita State,1985,3
1988-1989,Karl Malone,,16-Apr-89,Utah Jazz,PF,9-Jun,265,25,Louisiana Tech,1985,3
1988-1989,Clyde Drexler,,9-Apr-89,Portland Trail Blazers,SG,7-Jun,210,26,Houston,1983,5
1988-1989,Michael Jordan,,2-Apr-89,Chicago Bulls,SG,6-Jun,215,26,North Carolina,1984,4
1988-1989,Michael Jordan,,26-Mar-89,Chicago Bulls,SG,6-Jun,215,26,North Carolina,1984,4
1988-1989,Kevin Johnson,,19-Mar-89,Phoenix Suns,PG,1-Jun,180,22,California,1987,1
1988-1989,Isiah Thomas,,12-Mar-89,Detroit Pistons,PG,1-Jun,180,27,Indiana,1981,7
1988-1989,Chuck Person,,5-Mar-89,Indiana Pacers,SF,8-Jun,220,24,Auburn,1986,2
1988-1989,Patrick Ewing,,26-Feb-89,New York Knicks,C,Jul-00,240,26,Georgetown,1985,3
1988-1989,Hakeem Olajuwon,,19-Feb-89,Houston Rockets,C,Jul-00,255,26,Houston,1984,4
1988-1989,Ron Harper,,5-Feb-89,Cleveland Cavaliers,SG,6-Jun,185,25,Miami (OH),1986,2
1988-1989,Tom Chambers,,29-Jan-89,Phoenix Suns,PF,10-Jun,220,29,Utah,1981,7
1988-1989,Chris Mullin,,22-Jan-89,Golden State Warriors,SF,7-Jun,215,25,St. John's,1985,3
1988-1989,Michael Jordan,,15-Jan-89,Chicago Bulls,SG,6-Jun,215,26,North Carolina,1984,4
1988-1989,Dale Ellis,,8-Jan-89,Seattle SuperSonics,GF,7-Jun,205,28,Tennessee,1983,5
1988-1989,Magic Johnson,,1-Jan-89,Los Angeles Lakers,PG,9-Jun,255,29,Michigan State,1979,9
1988-1989,Clyde Drexler,,25-Dec-88,Portland Trail Blazers,SG,7-Jun,210,26,Houston,1983,5
1988-1989,Robert Parish,,18-Dec-88,Boston Celtics,C,Jul-00,230,35,Centenary,1976,11
1988-1989,Michael Adams,,11-Dec-88,Denver Nuggets,PG,10-May,163,26,Boston College,1985,3
1988-1989,Magic Johnson,,4-Dec-88,Los Angeles Lakers,PG,9-Jun,255,29,Michigan State,1979,9
1988-1989,Patrick Ewing,,27-Nov-88,New York Knicks,C,Jul-00,240,26,Georgetown,1985,3
1988-1989,Michael Jordan,,20-Nov-88,Chicago Bulls,SG,6-Jun,215,26,North Carolina,1984,4
1988-1989,Hakeem Olajuwon,,13-Nov-88,Houston Rockets,C,Jul-00,255,26,Houston,1984,4
1987-1988,Karl Malone,,24-Apr-88,Utah Jazz,PF,9-Jun,265,24,Louisiana Tech,1985,2
1987-1988,Fat Lever,,17-Apr-88,Denver Nuggets,PG,3-Jun,170,27,Arizona State,1982,5
1987-1988,Harold Pressley,,10-Apr-88,Sacramento Kings,GF,7-Jun,210,24,Villanova,1986,1
1987-1988,Michael Jordan,,3-Apr-88,Chicago Bulls,SG,6-Jun,215,25,North Carolina,1984,3
1987-1988,Michael Jordan,,27-Mar-88,Chicago Bulls,SG,6-Jun,215,25,North Carolina,1984,3
1987-1988,Charles Barkley,,20-Mar-88,Philadelphia Sixers,PF,6-Jun,252,25,Auburn,1984,3
1987-1988,Clyde Drexler,,13-Mar-88,Portland Trail Blazers,SG,7-Jun,210,25,Houston,1983,4
1987-1988,Bobby Hansen,,6-Mar-88,Utah Jazz,SG,6-Jun,190,27,Iowa,1983,4
1987-1988,Roy Tarpley,,28-Feb-88,Dallas Mavericks,PF,11-Jun,230,23,Michigan,1986,1
1987-1988,John Stockton,,21-Feb-88,Utah Jazz,PG,1-Jun,170,25,Gonzaga,1984,3
1987-1988,Dominique Wilkins,,14-Feb-88,Atlanta Hawks,SF,7-Jun,200,28,Georgia,1982,5
1987-1988,Bernard King,,31-Jan-88,Washington Bullets,SF,7-Jun,205,31,Tennessee,1977,10
1987-1988,Michael Jordan,,24-Jan-88,Chicago Bulls,SG,6-Jun,215,25,North Carolina,1984,3
1987-1988,Dominique Wilkins,,17-Jan-88,Atlanta Hawks,SF,7-Jun,200,28,Georgia,1982,5
1987-1988,Byron Scott,,10-Jan-88,Los Angeles Lakers,SG,3-Jun,195,26,Arizona State,1983,4
1987-1988,Karl Malone,,3-Jan-88,Utah Jazz,PF,9-Jun,265,24,Louisiana Tech,1985,2
1987-1988,Dominique Wilkins,,27-Dec-87,Atlanta Hawks,SF,7-Jun,200,28,Georgia,1982,5
1987-1988,Larry Nance,,20-Dec-87,Phoenix Suns,PF,10-Jun,205,29,Clemson,1981,6
1987-1988,Magic Johnson,,13-Dec-87,Los Angeles Lakers,PG,9-Jun,255,28,Michigan State,1979,8
1987-1988,Clyde Drexler,,6-Dec-87,Portland Trail Blazers,SG,7-Jun,210,25,Houston,1983,4
1987-1988,Clyde Drexler,,29-Nov-87,Portland Trail Blazers,SG,7-Jun,210,25,Houston,1983,4
1987-1988,Xavier McDaniel,,22-Nov-87,Seattle SuperSonics,PF,7-Jun,205,24,Wichita State,1985,2
1987-1988,Larry Bird,,15-Nov-87,Boston Celtics,SF,9-Jun,220,31,Indiana State,1978,8
1986-1987,Julius Erving,,19-Apr-87,Philadelphia Sixers,SF,6-Jun,200,37,Massachusetts,1972,14
1986-1987,Michael Jordan,,12-Apr-87,Chicago Bulls,SG,6-Jun,215,24,North Carolina,1984,2
1986-1987,Magic Johnson,,5-Apr-87,Los Angeles Lakers,PG,9-Jun,255,27,Michigan State,1979,7
1986-1987,Larry Smith,,29-Mar-87,Golden State Warriors,PF,8-Jun,215,29,Alcorn State,1980,6
1986-1987,Magic Johnson,,22-Mar-87,Los Angeles Lakers,PG,9-Jun,255,27,Michigan State,1979,7
1986-1987,Karl Malone,,15-Mar-87,Utah Jazz,PF,9-Jun,265,23,Louisiana Tech,1985,1
1986-1987,Magic Johnson,,8-Mar-87,Los Angeles Lakers,PG,9-Jun,255,27,Michigan State,1979,7
1986-1987,Michael Jordan,,1-Mar-87,Chicago Bulls,SG,6-Jun,215,24,North Carolina,1984,2
1986-1987,Moses Malone,,22-Feb-87,Washington Bullets,C,10-Jun,215,31,Petersburg High School (Virginia),1976,10
1986-1987,Magic Johnson,,15-Feb-87,Los Angeles Lakers,PG,9-Jun,255,27,Michigan State,1979,7
1986-1987,Fat Lever,,1-Feb-87,Denver Nuggets,PG,3-Jun,170,26,Arizona State,1982,4
1986-1987,Alex English,,25-Jan-87,Denver Nuggets,SF,7-Jun,190,33,South Carolina,1976,10
1986-1987,Otis Thorpe,,18-Jan-87,Sacramento Kings,PF,9-Jun,225,24,Providence,1984,2
1986-1987,Isiah Thomas,,11-Jan-87,Detroit Pistons,PG,1-Jun,180,25,Indiana,1981,5
1986-1987,Larry Bird,,4-Jan-87,Boston Celtics,SF,9-Jun,220,30,Indiana State,1978,7
1986-1987,Patrick Ewing,,28-Dec-86,New York Knicks,C,Jul-00,240,24,Georgetown,1985,1
1986-1987,Magic Johnson,,21-Dec-86,Los Angeles Lakers,PG,9-Jun,255,27,Michigan State,1979,7
1986-1987,Dominique Wilkins,,14-Dec-86,Atlanta Hawks,SF,7-Jun,200,27,Georgia,1982,4
1986-1987,Tom Chambers,,7-Dec-86,Seattle SuperSonics,PF,10-Jun,220,27,Utah,1981,5
1986-1987,Hot Rod Williams,,30-Nov-86,Cleveland Cavaliers,FC,11-Jun,215,24,Tulane,1985,0
1986-1987,Alvin Robertson,,23-Nov-86,San Antonio Spurs,SG,3-Jun,185,24,Arkansas,1984,2
1986-1987,Robert Parish,,16-Nov-86,Boston Celtics,C,Jul-00,230,33,Centenary,1976,9
1986-1987,Michael Jordan,,9-Nov-86,Chicago Bulls,SG,6-Jun,215,24,North Carolina,1984,2
1985-1986,Dominique Wilkins,,13-Apr-86,Atlanta Hawks,SF,7-Jun,200,26,Georgia,1982,3
1985-1986,Herb Williams,,6-Apr-86,Indiana Pacers,C,10-Jun,242,28,Ohio State,1981,4
1985-1986,Charles Barkley,,30-Mar-86,Philadelphia Sixers,PF,6-Jun,252,23,Auburn,1984,1
1985-1986,Adrian Dantley,,23-Mar-86,Utah Jazz,SF,5-Jun,208,30,Notre Dame,1976,9
1985-1986,Larry Bird,,16-Mar-86,Boston Celtics,SF,9-Jun,220,29,Indiana State,1978,6
1985-1986,Magic Johnson,,9-Mar-86,Los Angeles Lakers,PG,9-Jun,255,26,Michigan State,1979,6
1985-1986,Charles Barkley,,2-Mar-86,Philadelphia Sixers,PF,6-Jun,252,23,Auburn,1984,1
1985-1986,Sidney Moncrief,,23-Feb-86,Milwaukee Bucks,SG,3-Jun,180,28,Arkansas,1979,6
1985-1986,Larry Bird,,16-Feb-86,Boston Celtics,SF,9-Jun,220,29,Indiana State,1978,6
1985-1986,Alex English,,2-Feb-86,Denver Nuggets,SF,7-Jun,190,32,South Carolina,1976,9
1985-1986,Charles Barkley,,26-Jan-86,Philadelphia Sixers,PF,6-Jun,252,23,Auburn,1984,1
1985-1986,Larry Bird,,19-Jan-86,Boston Celtics,SF,9-Jun,220,29,Indiana State,1978,6
1985-1986,Calvin Natt,,12-Jan-86,Denver Nuggets,F,6-Jun,220,29,Louisiana-Monroe,1979,6
1985-1986,Clyde Drexler,,5-Jan-86,Portland Trail Blazers,SG,7-Jun,210,23,Houston,1983,2
1985-1986,Dominique Wilkins,,29-Dec-85,Atlanta Hawks,SF,7-Jun,200,26,Georgia,1982,3
1985-1986,Larry Nance,,22-Dec-85,Phoenix Suns,PF,10-Jun,205,27,Clemson,1981,4
1985-1986,Alvin Robertson,,15-Dec-85,San Antonio Spurs,SG,3-Jun,185,23,Arkansas,1984,1
1985-1986,Jeff Ruland,,8-Dec-85,Washington Bullets,C,10-Jun,240,27,Iona,1980,4
1985-1986,Larry Bird,,1-Dec-85,Boston Celtics,SF,9-Jun,220,29,Indiana State,1978,6
1985-1986,Alex English,,24-Nov-85,Denver Nuggets,SF,7-Jun,190,32,South Carolina,1976,9
1985-1986,Patrick Ewing,,17-Nov-85,New York Knicks,C,Jul-00,240,23,Georgetown,1985,0
1985-1986,Buck Williams,,10-Nov-85,New Jersey Nets,PF,8-Jun,215,25,Maryland,1981,4
1985-1986,Derek Smith,,3-Nov-85,Los Angeles Clippers,SG,6-Jun,205,24,Louisville,1982,3
1984-1985,Micheal Ray Richardson,,14-Apr-85,New Jersey Nets,PG,5-Jun,189,29,Montana,1978,6
1984-1985,Derek Smith,,7-Apr-85,Los Angeles Clippers,SG,6-Jun,205,23,Louisville,1982,2
1984-1985,Calvin Natt,,1-Apr-85,Denver Nuggets,F,6-Jun,220,28,Louisiana-Monroe,1979,5
1984-1985,Kareem Abdul-Jabbar,,24-Mar-85,Los Angeles Lakers,C,2-Jul,225,37,UCLA,1969,15
1984-1985,Larry Bird,,17-Mar-85,Boston Celtics,SF,9-Jun,220,28,Indiana State,1978,5
1984-1985,Darrell Griffith,,10-Mar-85,Utah Jazz,SG,4-Jun,190,26,Louisville,1980,4
1984-1985,Sleepy Floyd,,3-Mar-85,Golden State Warriors,PG,3-Jun,170,24,Georgetown,1982,2
1984-1985,Mark Aguirre,,24-Feb-85,Dallas Mavericks,SF,6-Jun,232,25,DePaul,1981,3
1984-1985,Magic Johnson,,17-Feb-85,Los Angeles Lakers,PG,9-Jun,255,25,Michigan State,1979,5
1984-1985,Dominique Wilkins,,3-Feb-85,Atlanta Hawks,SF,7-Jun,200,25,Georgia,1982,2
1984-1985,Tom McMillen,,27-Jan-85,Washington Bullets,PF,11-Jun,215,32,Maryland,1974,9
1984-1985,Michael Jordan,,20-Jan-85,Chicago Bulls,SG,6-Jun,215,22,North Carolina,1984,0
1984-1985,World B. Free,,13-Jan-85,Cleveland Cavaliers,G,2-Jun,185,31,Guilford,1975,9
1984-1985,Isiah Thomas,,6-Jan-85,Detroit Pistons,PG,1-Jun,180,23,Indiana,1981,3
1984-1985,Micheal Ray Richardson,,30-Dec-84,New Jersey Nets,PG,5-Jun,189,29,Montana,1978,6
1984-1985,Terry Cummings,,23-Dec-84,Milwaukee Bucks,PF,9-Jun,220,23,DePaul,1982,2
1984-1985,Derek Smith,,16-Dec-84,Los Angeles Clippers,SG,6-Jun,205,23,Louisville,1982,2
1984-1985,Orlando Woolridge,,9-Dec-84,Chicago Bulls,PF,9-Jun,215,25,Notre Dame,1981,3
1984-1985,Jack Sikma,,2-Dec-84,Seattle SuperSonics,C,11-Jun,230,29,Illinois Wesleyan,1977,7
1984-1985,Bernard King,,25-Nov-84,New York Knicks,SF,7-Jun,205,28,Tennessee,1977,7
1984-1985,Moses Malone,,18-Nov-84,Philadelphia Sixers,C,10-Jun,215,29,Petersburg High School (Virginia),1976,8
1984-1985,Alex English,,11-Nov-84,Denver Nuggets,SF,7-Jun,190,31,South Carolina,1976,8
1984-1985,Larry Nance,,4-Nov-84,Phoenix Suns,PF,10-Jun,205,26,Clemson,1981,3
1983-1984,Dominique Wilkins,,15-Apr-84,Atlanta Hawks,SF,7-Jun,200,24,Georgia,1982,1
1983-1984,Kareem Abdul-Jabbar,,8-Apr-84,Los Angeles Lakers,C,2-Jul,225,36,UCLA,1969,14
1983-1984,Isiah Thomas,,1-Apr-84,Detroit Pistons,PG,1-Jun,180,22,Indiana,1981,2
1983-1984,Moses Malone,,25-Mar-84,Philadelphia Sixers,C,10-Jun,215,28,Petersburg High School (Virginia),1976,7
1983-1984,Adrian Dantley,,18-Mar-84,Utah Jazz,SF,5-Jun,208,28,Notre Dame,1976,7
1983-1984,Larry Bird,,11-Mar-84,Boston Celtics,SF,9-Jun,220,27,Indiana State,1978,4
1983-1984,Mickey Johnson,,4-Mar-84,Golden State Warriors,PF,10-Jun,190,31,Aurora,1974,9
1983-1984,Magic Johnson,,26-Feb-84,Los Angeles Lakers,PG,9-Jun,255,24,Michigan State,1979,4
1983-1984,Larry Bird,,19-Feb-84,Boston Celtics,SF,9-Jun,220,27,Indiana State,1978,4
1983-1984,Kareem Abdul-Jabbar,,12-Feb-84,Los Angeles Lakers,C,2-Jul,225,36,UCLA,1969,14
1983-1984,Bernard King,,5-Feb-84,New York Knicks,SF,7-Jun,205,27,Tennessee,1977,6
